timestamp,user_id,username,action,resource,resource_sensitivity,status,source_ip,time_classification
2025-04-20 13:02:00,USR00173,christopher.meyer,admin_operation,HRIS,high,success,192.168.73.220,business_hours
2025-04-21 05:58:00,USR00057,zainab.jo,export_data,File_Share,low,success,192.168.66.185,business_hours
2025-04-21 21:44:00,USR00079,varun.weber,sql_query,Customer_Vault,high,success,192.168.4.1,business_hours
2025-04-22 05:48:00,USR00046,deepika.li,sql_query,Data_Lake,medium,success,192.168.127.154,business_hours
2025-04-22 09:18:00,USR00085,varun.rao,api_call,HRIS,high,success,192.168.200.228,night
2025-04-22 15:52:00,USR00037,ronald.wilson,admin_operation,HRIS,high,success,192.168.45.173,business_hours
2025-04-22 15:52:00,USR00200,joseph.guo,export_data,Data_Lake,medium,success,192.168.45.173,business_hours
2025-04-23 03:32:00,USR00021,rohan.harris,admin_operation,BI_Tool,low,success,192.168.107.56,business_hours
2025-04-23 06:57:00,USR00048,xiulan.colombo,export_data,GL_System,high,success,192.168.235.133,weekend
2025-04-24 00:09:00,USR00032,pooja.martin,admin_operation,Admin_Console,medium,success,192.168.250.93,night
2025-04-24 03:19:00,USR00015,sophia.white,login,HRIS,high,success,192.168.241.25,business_hours
2025-04-24 16:05:00,USR00164,anjali.sun,api_call,File_Share,low,success,192.168.117.89,business_hours
2025-04-25 10:45:00,USR00096,edward.thomas,api_call,HRIS,high,success,192.168.150.182,unusual_hours
2025-04-27 16:47:00,USR00017,diya.schulz,sql_query,BI_Tool,low,success,192.168.172.14,unusual_hours
2025-04-28 00:44:00,USR00059,thomas.lewis,file_access,File_Share,low,success,192.168.196.37,unusual_hours
2025-04-28 01:31:00,USR00299,leila.lee,export_data,Email_Archive,medium,success,192.168.46.89,night
2025-04-28 06:43:00,USR00036,nicholas.harris,admin_operation,Admin_Console,medium,success,192.168.210.146,business_hours
2025-04-29 22:34:00,USR00028,paul.singh,file_access,Data_Lake,medium,success,192.168.208.90,business_hours
2025-04-29 22:34:00,USR00010,jacob.patel,sql_query,HRIS,high,success,192.168.208.90,business_hours
2025-04-30 02:52:00,USR00210,charles.lopez,file_access,GL_System,high,success,192.168.108.223,business_hours
2025-04-30 04:20:00,USR00075,timothy.huang,login,PROD_DB,high,success,192.168.192.58,business_hours
2025-04-30 05:05:00,USR00068,robert.patel,api_call,PROD_DB,high,failure,192.168.80.176,business_hours
2025-04-30 10:13:00,USR00070,jeffrey.chen,admin_operation,Customer_Vault,high,success,192.168.250.222,unusual_hours
2025-04-30 10:13:00,USR00179,xiulan.sharma,export_data,Admin_Console,medium,success,192.168.250.222,unusual_hours
2025-05-01 10:31:00,USR00121,joseph.perez,sql_query,HRIS,high,success,192.168.247.189,business_hours
2025-05-01 10:31:00,USR00063,daniel.colombo,api_call,Admin_Console,medium,success,192.168.247.189,business_hours
2025-05-03 00:48:00,USR00150,daniel.wagner,login,HRIS,high,success,192.168.65.82,business_hours
2025-05-03 23:20:00,USR00011,maria.o'brien,sql_query,HRIS,high,success,192.168.221.166,unusual_hours
2025-05-04 10:11:00,USR00022,harsh.patel,login,Admin_Console,medium,success,192.168.28.222,business_hours
2025-05-04 15:55:00,USR00057,zainab.jo,export_data,Customer_Vault,high,success,192.168.83.70,unusual_hours
2025-05-04 21:13:00,USR00022,harsh.patel,sql_query,SIEM,medium,success,192.168.51.251,business_hours
2025-05-05 15:36:00,USR00006,kevin.ramirez,login,PROD_DB,high,success,192.168.80.251,business_hours
2025-05-05 16:15:00,USR00036,nicholas.harris,api_call,File_Share,low,success,192.168.57.48,unusual_hours
2025-05-06 12:13:00,USR00005,george.lim,api_call,Data_Lake,medium,success,192.168.155.23,business_hours
2025-05-06 14:10:00,USR00010,jacob.patel,admin_operation,Admin_Console,medium,success,192.168.122.151,business_hours
2025-05-06 20:40:00,USR00097,leila.lopez,admin_operation,GL_System,high,success,192.168.52.28,unusual_hours
2025-05-07 00:26:00,USR00061,sophia.hernandez,api_call,SIEM,medium,success,192.168.253.9,unusual_hours
2025-05-07 06:00:00,USR00010,jacob.patel,login,HRIS,high,success,192.168.42.176,business_hours
2025-05-07 14:27:00,USR00036,nicholas.harris,export_data,Email_Archive,medium,failure,192.168.194.196,business_hours
2025-05-07 19:55:00,USR00048,xiulan.colombo,login,File_Share,low,failure,192.168.113.23,business_hours
2025-05-07 22:31:00,USR00094,donald.schulz,api_call,Customer_Vault,high,success,192.168.33.136,business_hours
2025-05-08 02:31:00,USR00022,harsh.patel,login,Data_Lake,medium,success,192.168.118.218,business_hours
2025-05-08 16:48:00,USR00085,varun.rao,sql_query,File_Share,low,success,192.168.201.181,business_hours
2025-05-08 19:40:00,USR00002,kenneth.moore,api_call,BI_Tool,low,success,192.168.105.69,business_hours
2025-05-09 01:36:00,USR00018,meera.burke,login,Admin_Console,medium,success,192.168.53.68,business_hours
2025-05-09 01:36:00,USR00087,aditya.taylor,api_call,HRIS,high,success,192.168.53.68,business_hours
2025-05-10 08:37:00,USR00151,priya.white,admin_operation,HRIS,high,success,192.168.142.233,business_hours
2025-05-10 08:50:00,USR00004,diya.anderson,file_access,PROD_DB,high,success,192.168.92.48,business_hours
2025-05-10 08:50:00,USR00076,stephen.guo,sql_query,GL_System,high,success,192.168.92.48,business_hours
2025-05-10 14:12:00,USR00030,yuki.meyer,admin_operation,GL_System,high,success,192.168.116.186,weekend
2025-05-11 03:39:00,USR00061,sophia.hernandez,file_access,SIEM,medium,success,192.168.38.134,business_hours
2025-05-11 08:29:00,USR00018,meera.burke,export_data,BI_Tool,low,success,192.168.44.171,business_hours
2025-05-11 10:30:00,USR00015,sophia.white,sql_query,SIEM,medium,success,192.168.16.233,business_hours
2025-05-12 07:58:00,USR00032,pooja.martin,file_access,HRIS,high,success,192.168.27.56,business_hours
2025-05-12 07:58:00,USR00059,thomas.lewis,sql_query,Admin_Console,medium,success,192.168.27.56,business_hours
2025-05-13 23:50:00,USR00044,pooja.mishra,sql_query,HRIS,high,success,192.168.138.141,business_hours
2025-05-14 04:36:00,USR00054,edward.smith,sql_query,HRIS,high,success,192.168.236.90,business_hours
2025-05-14 08:19:00,USR00034,harsh.jones,admin_operation,HRIS,high,failure,192.168.29.54,unusual_hours
2025-05-14 08:50:00,USR00040,nicholas.romano,sql_query,HRIS,high,success,192.168.62.86,business_hours
2025-05-14 13:52:00,USR00053,timothy.jo,export_data,PROD_DB,high,success,192.168.159.102,business_hours
2025-05-14 13:52:00,USR00211,rajesh.gupta,login,GL_System,high,success,192.168.159.102,business_hours
2025-05-14 20:19:00,USR00044,pooja.mishra,sql_query,Customer_Vault,high,success,192.168.98.22,business_hours
2025-05-15 01:23:00,USR00270,robert.ramirez,login,PROD_DB,high,success,192.168.99.209,business_hours
2025-05-15 09:48:00,USR00015,sophia.white,login,GL_System,high,success,192.168.234.219,unusual_hours
2025-05-15 10:47:00,USR00088,william.jang,login,Admin_Console,medium,success,192.168.1.63,unusual_hours
2025-05-15 13:21:00,USR00043,matthew.bernard,sql_query,Customer_Vault,high,success,192.168.30.9,business_hours
2025-05-15 13:58:00,USR00222,jason.rizzo,login,SIEM,medium,success,192.168.27.75,business_hours
2025-05-16 03:23:00,USR00034,harsh.jones,sql_query,SIEM,medium,success,192.168.24.67,business_hours
2025-05-17 01:07:00,USR00099,maria.bianchi,admin_operation,PROD_DB,high,success,192.168.11.118,business_hours
2025-05-17 16:14:00,USR00048,xiulan.colombo,api_call,HRIS,high,success,192.168.84.234,business_hours
2025-05-17 22:08:00,USR00056,william.kumar,sql_query,Admin_Console,medium,success,192.168.106.122,unusual_hours
2025-05-18 04:24:00,USR00122,nisha.li,admin_operation,Email_Archive,medium,success,192.168.61.14,business_hours
2025-05-18 15:43:00,USR00007,robert.smith,api_call,Data_Lake,medium,success,192.168.223.107,business_hours
2025-05-19 11:41:00,USR00001,daniel.singh,api_call,Admin_Console,medium,success,192.168.49.214,business_hours
2025-05-19 19:28:00,USR00124,david.russo,admin_operation,Admin_Console,medium,success,192.168.72.36,business_hours
2025-05-19 20:19:00,USR00270,robert.ramirez,sql_query,Email_Archive,medium,success,192.168.27.179,business_hours
2025-05-19 23:19:00,USR00111,james.sharma,api_call,SIEM,medium,success,192.168.13.20,business_hours
2025-05-20 09:52:00,USR00049,thomas.kang,sql_query,SIEM,medium,success,192.168.191.158,unusual_hours
2025-05-21 12:46:00,USR00049,thomas.kang,sql_query,PROD_DB,high,success,192.168.241.156,business_hours
2025-05-21 14:25:00,USR00252,nadia.singh,sql_query,GL_System,high,failure,192.168.32.148,business_hours
2025-05-21 22:50:00,USR00002,kenneth.moore,api_call,File_Share,low,success,192.168.250.79,business_hours
2025-05-22 10:46:00,USR00200,joseph.guo,sql_query,GL_System,high,success,192.168.83.22,business_hours
2025-05-22 12:30:00,USR00010,jacob.patel,export_data,HRIS,high,success,192.168.240.217,business_hours
2025-05-22 16:23:00,USR00016,elena.dubois,admin_operation,BI_Tool,low,success,192.168.246.175,business_hours
2025-05-23 01:19:00,USR00077,neha.taylor,admin_operation,Customer_Vault,high,success,192.168.168.202,weekend
2025-05-24 18:49:00,USR00183,kenneth.johnson,login,Admin_Console,medium,success,192.168.188.0,night
2025-05-24 18:49:00,USR00078,christopher.menon,export_data,Customer_Vault,high,success,192.168.188.0,night
2025-05-25 02:59:00,USR00019,joshua.white,login,BI_Tool,low,success,192.168.144.43,business_hours
2025-05-25 12:53:00,USR00008,thomas.iyer,login,Customer_Vault,high,failure,192.168.20.212,night
2025-05-26 14:46:00,USR00041,matthew.huang,export_data,Data_Lake,medium,success,192.168.42.19,night
2025-05-26 17:27:00,USR00197,kevin.white,export_data,File_Share,low,success,192.168.49.117,unusual_hours
2025-05-26 19:23:00,USR00019,joshua.white,login,Data_Lake,medium,success,192.168.201.25,night
2025-05-26 22:24:00,USR00074,mark.he,file_access,Data_Lake,medium,success,192.168.251.86,unusual_hours
2025-05-27 00:43:00,USR00086,ryan.colombo,export_data,PROD_DB,high,success,192.168.210.82,business_hours
2025-05-27 03:41:00,USR00015,sophia.white,sql_query,Data_Lake,medium,success,192.168.25.163,business_hours
2025-05-27 06:47:00,USR00088,william.jang,api_call,GL_System,high,success,192.168.112.48,unusual_hours
2025-05-27 07:15:00,USR00242,deepika.garcia,admin_operation,Email_Archive,medium,success,192.168.161.217,business_hours
2025-05-27 10:34:00,USR00188,meera.schmidt,admin_operation,File_Share,low,success,192.168.249.147,business_hours
2025-05-27 10:42:00,USR00087,aditya.taylor,export_data,Admin_Console,medium,success,192.168.55.27,business_hours
2025-05-28 01:58:00,USR00213,riya.colombo,api_call,BI_Tool,low,success,192.168.71.139,business_hours
2025-05-30 15:03:00,USR00005,george.lim,admin_operation,Customer_Vault,high,success,192.168.104.15,unusual_hours
2025-05-30 16:37:00,USR00037,ronald.wilson,file_access,Data_Lake,medium,success,192.168.44.248,business_hours
2025-05-30 20:55:00,USR00087,aditya.taylor,export_data,BI_Tool,low,success,192.168.37.32,business_hours
2025-05-30 20:55:00,USR00200,joseph.guo,login,Email_Archive,medium,success,192.168.37.32,business_hours
2025-05-31 05:39:00,USR00055,neha.johnson,sql_query,SIEM,medium,success,192.168.168.99,business_hours
2025-05-31 13:38:00,USR00068,robert.patel,export_data,BI_Tool,low,success,192.168.179.37,business_hours
2025-05-31 21:57:00,USR00046,deepika.li,sql_query,SIEM,medium,success,192.168.162.25,business_hours
2025-06-01 11:31:00,USR00040,nicholas.romano,api_call,Email_Archive,medium,success,192.168.96.15,night
2025-06-01 13:43:00,USR00060,vikram.gonzalez,login,PROD_DB,high,success,192.168.203.30,night
2025-06-01 14:32:00,USR00052,leila.sun,admin_operation,HRIS,high,success,192.168.52.121,night
2025-06-01 23:01:00,USR00063,daniel.colombo,admin_operation,File_Share,low,success,192.168.96.0,business_hours
2025-06-03 04:19:00,USR00221,rajesh.smith,file_access,GL_System,high,success,192.168.212.80,business_hours
2025-06-03 06:40:00,USR00062,nisha.jones,api_call,File_Share,low,success,192.168.21.0,business_hours
2025-06-03 06:40:00,USR00166,amara.smith,sql_query,BI_Tool,low,success,192.168.21.0,business_hours
2025-06-03 08:17:00,USR00057,zainab.jo,sql_query,Email_Archive,medium,success,192.168.187.193,business_hours
2025-06-03 09:48:00,USR00231,rajesh.pillai,sql_query,HRIS,high,success,192.168.169.115,business_hours
2025-06-04 12:02:00,USR00294,kenneth.colombo,file_access,PROD_DB,high,success,192.168.132.159,business_hours
2025-06-04 17:37:00,USR00043,matthew.bernard,login,File_Share,low,success,192.168.8.211,unusual_hours
2025-06-05 08:59:00,USR00104,jeffrey.ghosh,admin_operation,GL_System,high,failure,192.168.114.178,business_hours
2025-06-05 17:20:00,USR00078,christopher.menon,api_call,BI_Tool,low,success,192.168.189.196,business_hours
2025-06-05 17:43:00,USR00077,neha.taylor,login,PROD_DB,high,success,192.168.216.148,business_hours
2025-06-05 17:43:00,USR00078,christopher.menon,api_call,GL_System,high,success,192.168.216.148,business_hours
2025-06-05 20:54:00,USR00166,amara.smith,export_data,File_Share,low,success,192.168.92.167,business_hours
2025-06-05 20:54:00,USR00062,nisha.jones,admin_operation,SIEM,medium,success,192.168.92.167,business_hours
2025-06-06 23:05:00,USR00007,robert.smith,admin_operation,Data_Lake,medium,success,192.168.58.67,night
2025-06-07 12:18:00,USR00060,vikram.gonzalez,api_call,BI_Tool,low,success,192.168.8.149,business_hours
2025-06-08 04:12:00,USR00004,diya.anderson,export_data,File_Share,low,success,192.168.166.114,business_hours
2025-06-09 01:02:00,USR00054,edward.smith,sql_query,File_Share,low,success,192.168.138.131,business_hours
2025-06-09 10:45:00,USR00173,christopher.meyer,login,Email_Archive,medium,failure,192.168.27.18,business_hours
2025-06-09 15:50:00,USR00091,steven.thompson,admin_operation,HRIS,high,success,192.168.19.56,weekend
2025-06-09 23:49:00,USR00096,edward.thomas,export_data,HRIS,high,success,192.168.249.115,business_hours
2025-06-09 23:49:00,USR00105,gary.murphy,login,Data_Lake,medium,success,192.168.249.115,business_hours
2025-06-10 03:22:00,USR00023,isha.jones,admin_operation,PROD_DB,high,success,192.168.148.177,business_hours
2025-06-10 11:27:00,USR00015,sophia.white,api_call,Email_Archive,medium,failure,192.168.32.148,business_hours
2025-06-10 11:37:00,USR00297,sofia.schmidt,sql_query,Customer_Vault,high,success,192.168.131.167,business_hours
2025-06-10 11:37:00,USR00006,kevin.ramirez,api_call,Email_Archive,medium,success,192.168.131.167,business_hours
2025-06-10 15:32:00,USR00241,amitabh.harris,export_data,Data_Lake,medium,success,192.168.198.193,business_hours
2025-06-11 06:41:00,USR00020,karan.white,api_call,Data_Lake,medium,success,192.168.122.33,unusual_hours
2025-06-11 07:32:00,USR00281,nikhil.verma,file_access,SIEM,medium,success,192.168.165.169,business_hours
2025-06-11 12:03:00,USR00023,isha.jones,login,HRIS,high,success,192.168.240.187,business_hours
2025-06-12 12:56:00,USR00120,david.sullivan,api_call,Customer_Vault,high,success,192.168.249.113,business_hours
2025-06-12 23:28:00,USR00008,thomas.iyer,login,Email_Archive,medium,success,192.168.155.31,business_hours
2025-06-14 17:48:00,USR00005,george.lim,export_data,Admin_Console,medium,success,192.168.228.7,business_hours
2025-06-14 19:02:00,USR00000,pooja.murphy,admin_operation,Customer_Vault,high,success,192.168.37.250,business_hours
2025-06-15 04:48:00,USR00063,daniel.colombo,login,Admin_Console,medium,success,192.168.150.182,unusual_hours
2025-06-15 06:24:00,USR00037,ronald.wilson,export_data,SIEM,medium,success,192.168.192.88,business_hours
2025-06-15 07:38:00,USR00022,harsh.patel,export_data,SIEM,medium,success,192.168.68.169,business_hours
2025-06-15 15:08:00,USR00037,ronald.wilson,export_data,Email_Archive,medium,success,192.168.224.134,business_hours
2025-06-15 15:08:00,USR00076,stephen.guo,login,Customer_Vault,high,success,192.168.224.134,business_hours
2025-06-16 04:37:00,USR00065,timothy.xu,file_access,Data_Lake,medium,success,192.168.156.10,business_hours
2025-06-16 19:57:00,USR00004,diya.anderson,admin_operation,GL_System,high,success,192.168.102.218,night
2025-06-16 21:48:00,USR00108,xiulan.romano,api_call,Data_Lake,medium,success,192.168.234.64,business_hours
2025-06-17 06:53:00,USR00035,nikhil.rao,login,Admin_Console,medium,success,192.168.142.174,unusual_hours
2025-06-17 06:53:00,USR00045,stephen.kumar,api_call,HRIS,high,success,192.168.142.174,unusual_hours
2025-06-17 23:05:00,USR00176,nisha.sharma,login,Admin_Console,medium,success,192.168.225.174,business_hours
2025-06-17 23:05:00,USR00039,stephen.bhat,export_data,Customer_Vault,high,success,192.168.225.174,business_hours
2025-06-18 12:50:00,USR00092,charles.sullivan,export_data,Admin_Console,medium,success,192.168.187.195,weekend
2025-06-18 12:50:00,USR00002,kenneth.moore,login,HRIS,high,success,192.168.187.195,weekend
2025-06-18 23:17:00,USR00012,vikram.white,admin_operation,Email_Archive,medium,success,192.168.154.12,business_hours
2025-06-19 21:23:00,USR00214,ryan.sanchez,login,HRIS,high,success,192.168.252.34,business_hours
2025-06-20 00:50:00,USR00039,stephen.bhat,login,HRIS,high,success,192.168.247.74,business_hours
2025-06-20 00:50:00,USR00176,nisha.sharma,api_call,Data_Lake,medium,success,192.168.247.74,business_hours
2025-06-21 16:48:00,USR00011,maria.o'brien,file_access,Email_Archive,medium,success,192.168.168.158,unusual_hours
2025-06-23 16:02:00,USR00031,amitabh.taylor,export_data,GL_System,high,success,192.168.18.236,business_hours
2025-06-23 22:29:00,USR00044,pooja.mishra,api_call,Admin_Console,medium,success,192.168.2.25,unusual_hours
2025-06-24 02:04:00,USR00289,rajesh.jang,file_access,PROD_DB,high,success,192.168.18.181,business_hours
2025-06-24 16:58:00,USR00106,sanjana.quinn,file_access,Data_Lake,medium,success,192.168.155.178,business_hours
2025-06-24 16:58:00,USR00001,daniel.singh,sql_query,HRIS,high,success,192.168.155.178,business_hours
2025-06-24 18:34:00,USR00044,pooja.mishra,export_data,HRIS,high,success,192.168.224.100,business_hours
2025-06-25 12:08:00,USR00073,joshua.becker,login,Data_Lake,medium,success,192.168.41.80,business_hours
2025-06-25 22:43:00,USR00075,timothy.huang,sql_query,PROD_DB,high,success,192.168.77.199,business_hours
2025-06-26 04:18:00,USR00000,pooja.murphy,export_data,Data_Lake,medium,success,192.168.188.246,night
2025-06-26 05:43:00,USR00062,nisha.jones,api_call,Email_Archive,medium,success,192.168.30.248,business_hours
2025-06-26 07:43:00,USR00269,priya.lim,export_data,File_Share,low,success,192.168.132.42,business_hours
2025-06-26 07:43:00,USR00067,donald.wang,admin_operation,SIEM,medium,success,192.168.132.42,business_hours
2025-06-26 09:15:00,USR00210,charles.lopez,login,Email_Archive,medium,success,192.168.204.152,business_hours
2025-06-26 12:46:00,USR00059,thomas.lewis,file_access,PROD_DB,high,success,192.168.114.158,business_hours
