timestamp,user_id,username,action,resource,is_anomaly,anomaly_type,severity,explanation
2025-04-20 13:02:00,USR00173,christopher.meyer,admin_operation,HRIS,False,NONE,NONE,Normal access event — within expected parameters
2025-04-21 05:58:00,USR00057,zainab.jo,export_data,File_Share,False,NONE,NONE,Normal access event — within expected parameters
2025-04-21 21:44:00,USR00079,varun.weber,sql_query,Customer_Vault,True,CROSS_DEPT_ACCESS,HIGH,Standard user sql_query on Customer_Vault
2025-04-22 05:48:00,USR00046,deepika.li,sql_query,Data_Lake,False,NONE,NONE,Normal access event — within expected parameters
2025-04-22 09:18:00,USR00085,varun.rao,api_call,HRIS,True,AFTER_HOURS_HIGH_RISK,MEDIUM,API call on HRIS during night
2025-04-22 15:52:00,USR00037,ronald.wilson,admin_operation,HRIS,False,NONE,NONE,Normal access event — within expected parameters
2025-04-22 15:52:00,USR00200,joseph.guo,export_data,Data_Lake,False,NONE,NONE,Normal access event — within expected parameters
2025-04-23 03:32:00,USR00021,rohan.harris,admin_operation,BI_Tool,False,NONE,NONE,Normal access event — within expected parameters
2025-04-23 06:57:00,USR00048,xiulan.colombo,export_data,GL_System,True,BULK_DATA_EXPORT,HIGH,Export from GL_System (high sensitivity)
2025-04-24 00:09:00,USR00032,pooja.martin,admin_operation,Admin_Console,True,AFTER_HOURS_ADMIN,HIGH,Admin operation on Admin_Console during night
2025-04-24 03:19:00,USR00015,sophia.white,login,HRIS,False,NONE,NONE,Normal access event — within expected parameters
2025-04-24 16:05:00,USR00164,anjali.sun,api_call,File_Share,False,NONE,NONE,Normal access event — within expected parameters
2025-04-25 10:45:00,USR00096,edward.thomas,api_call,HRIS,False,NONE,NONE,Normal access event — within expected parameters
2025-04-27 16:47:00,USR00017,diya.schulz,sql_query,BI_Tool,False,NONE,NONE,Normal access event — within expected parameters
2025-04-28 00:44:00,USR00059,thomas.lewis,file_access,File_Share,False,NONE,NONE,Normal access event — within expected parameters
2025-04-28 01:31:00,USR00299,leila.lee,export_data,Email_Archive,True,BULK_DATA_EXPORT,MEDIUM,Export from Email_Archive (medium) during night
2025-04-28 06:43:00,USR00036,nicholas.harris,admin_operation,Admin_Console,True,CROSS_DEPT_ACCESS,HIGH,Standard user admin_operation on Admin_Console
2025-04-29 22:34:00,USR00028,paul.singh,file_access,Data_Lake,False,NONE,NONE,Normal access event — within expected parameters
2025-04-29 22:34:00,USR00010,jacob.patel,sql_query,HRIS,True,CROSS_DEPT_ACCESS,HIGH,Standard user sql_query on HRIS
2025-04-30 02:52:00,USR00210,charles.lopez,file_access,GL_System,False,NONE,NONE,Normal access event — within expected parameters
2025-04-30 04:20:00,USR00075,timothy.huang,login,PROD_DB,False,NONE,NONE,Normal access event — within expected parameters
